ticker,company_name,statement,fiscal_year_end,FreeCashFlow,RepurchaseOfCapitalStock,RepaymentOfDebt,IssuanceOfDebt,IssuanceOfCapitalStock,CapitalExpenditure,EndCashPosition,OtherCashAdjustmentOutsideChangeinCash,BeginningCashPosition,EffectOfExchangeRateChanges,ChangesInCash,FinancingCashFlow,NetOtherFinancingCharges,InterestPaidCFF,CashDividendsPaid,CommonStockDividendPaid,NetCommonStockIssuance,CommonStockPayments,CommonStockIssuance,NetIssuancePaymentsOfDebt,NetShortTermDebtIssuance,NetLongTermDebtIssuance,LongTermDebtPayments,LongTermDebtIssuance,InvestingCashFlow,NetOtherInvestingChanges,DividendsReceivedCFI,NetBusinessPurchaseAndSale,SaleOfBusiness,PurchaseOfBusiness,NetPPEPurchaseAndSale,SaleOfPPE,PurchaseOfPPE,OperatingCashFlow,TaxesRefundPaid,InterestPaidCFO,DividendReceivedCFO,ChangeInWorkingCapital,ChangeInOtherCurrentAssets,OtherNonCashItems,StockBasedCompensation,ProvisionandWriteOffofAssets,DepreciationAndAmortization,Depreciation,GainLossOnInvestmentSecurities,NetIncomeFromContinuingOperations,ChangeInPayable,ChangeInInventory,ChangeInReceivables,DeferredTax,AmortizationCashFlow,NetInvestmentPurchaseAndSale,SaleOfInvestment,PurchaseOfInvestment,NetIntangiblesPurchaseAndSale,SaleOfIntangibles,PurchaseOfIntangibles,InterestReceivedCFO,PensionAndEmployeeBenefitExpense,CapitalExpenditureReported,CashFlowFromContinuingFinancingActivities,ProceedsFromStockOptionExercised,ShortTermDebtPayments,ShortTermDebtIssuance,CashFlowFromContinuingInvestingActivities,CashFlowFromContinuingOperatingActivities,ChangeInOtherWorkingCapital,ChangeInPayablesAndAccruedExpense,ChangeInAccountPayable,ChangesInAccountReceivables,AssetImpairmentCharge,DeferredIncomeTax,DepreciationAmortizationDepletion,AmortizationOfIntangibles,OperatingGainsLosses,EarningsLossesFromEquityInvestments,NetForeignCurrencyExchangeGainLoss,GainLossOnSaleOfBusiness,OtherCashAdjustmentInsideChangeinCash,NetInvestmentPropertiesPurchaseAndSale,SaleOfInvestmentProperties,PurchaseOfInvestmentProperties,ChangeInOtherCurrentLiabilities,ChangeInPrepaidAssets,GainLossOnSaleOfPPE,ChangeInAccruedExpense,InterestReceivedCFI,AmortizationOfSecurities,InterestPaidSupplementalData,IncomeTaxPaidSupplementalData,CashFromDiscontinuedFinancingActivities,CashFromDiscontinuedInvestingActivities,CashFromDiscontinuedOperatingActivities,DividendPaidCFO
AC.PA,Accor,cash_flow,2025-12-31,613000000.0,-452000000.0,-2212000000.0,2675000000.0,1000000.0,-197000000.0,1183000000.0,-2000000.0,1236000000.0,-36000000.0,-15000000.0,-494000000.0,-3000000.0,-64000000.0,-327000000.0,-327000000.0,-451000000.0,-452000000.0,1000000.0,464000000.0,1000000.0,463000000.0,-2212000000.0,2675000000.0,-331000000.0,,11000000.0,-91000000.0,60000000.0,-151000000.0,-161000000.0,36000000.0,-197000000.0,810000000.0,-214000000.0,-65000000.0,,-111000000.0,-111000000.0,-31000000.0,41000000.0,34000000.0,330000000.0,330000000.0,21000000.0,807000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC.PA,Accor,cash_flow,2024-12-31,440000000.0,-404000000.0,-2475000000.0,2938000000.0,3000000.0,-293000000.0,1236000000.0,-3000000.0,1279000000.0,-15000000.0,-25000000.0,-400000000.0,-3000000.0,-35000000.0,-298000000.0,-298000000.0,-401000000.0,-404000000.0,3000000.0,443000000.0,-20000000.0,463000000.0,-2475000000.0,2938000000.0,-358000000.0,1000000.0,17000000.0,-194000000.0,88000000.0,-282000000.0,-293000000.0,0.0,-293000000.0,733000000.0,-177000000.0,-62000000.0,,-79000000.0,-79000000.0,5000000.0,41000000.0,26000000.0,341000000.0,341000000.0,-86000000.0,786000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC.PA,Accor,cash_flow,2023-12-31,415000000.0,-401000000.0,-1680000000.0,1515000000.0,0.0,-254000000.0,1279000000.0,29000000.0,1625000000.0,-15000000.0,-360000000.0,-1045000000.0,-37000000.0,-45000000.0,-297000000.0,-297000000.0,-401000000.0,-401000000.0,0.0,-165000000.0,-12000000.0,-165000000.0,-1680000000.0,1515000000.0,16000000.0,-1000000.0,18000000.0,308000000.0,477000000.0,-169000000.0,-254000000.0,,-254000000.0,669000000.0,-144000000.0,-46000000.0,,-17000000.0,-17000000.0,-12000000.0,38000000.0,-81000000.0,279000000.0,279000000.0,-23000000.0,735000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC.PA,Accor,cash_flow,2022-12-31,400000000.0,0.0,-1977000000.0,1558000000.0,2000000.0,-111000000.0,1625000000.0,2000000.0,1658000000.0,-8000000.0,-27000000.0,-381000000.0,121000000.0,,-12000000.0,-12000000.0,2000000.0,0.0,2000000.0,-419000000.0,,-419000000.0,-1977000000.0,1558000000.0,-157000000.0,1000000.0,20000000.0,-50000000.0,165000000.0,-215000000.0,-111000000.0,,-111000000.0,511000000.0,-65000000.0,-75000000.0,,57000000.0,57000000.0,49000000.0,,,,,,675000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC.PA,Accor,cash_flow,2021-12-31,,,,,,,,,,,,,,-35000000.0,,,,,,,-18000000.0,,,,,,,,,,,,,,,,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI.PA,Air Liquide,cash_flow,2025-12-31,2675000000.0,-4000000.0,,,139500000.0,-3843400000.0,3677900000.0,,1302400000.0,-47200000.0,2422700000.0,-344700000.0,-26700000.0,-228000000.0,-1955000000.0,-1955000000.0,135500000.0,-4000000.0,139500000.0,2060400000.0,,2060400000.0,,,-3751000000.0,,14100000.0,-76200000.0,177800000.0,-254000000.0,-3688900000.0,154500000.0,-3843400000.0,6518400000.0,,,,-226000000.0,,331800000.0,,185100000.0,2563500000.0,2563500000.0,13400000.0,3517900000.0,,,,109300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI.PA,Air Liquide,cash_flow,2024-12-31,2797100000.0,-230800000.0,,,34400000.0,-3525100000.0,1302400000.0,,1403600000.0,-32400000.0,-68800000.0,-2807600000.0,-33400000.0,-263500000.0,-1718100000.0,-1718100000.0,-196400000.0,-230800000.0,34400000.0,-266800000.0,,-266800000.0,,,-3583400000.0,,17600000.0,-156000000.0,113000000.0,-269000000.0,-3445000000.0,80100000.0,-3525100000.0,6322200000.0,,,,-155100000.0,115800000.0,338800000.0,,304000000.0,2505100000.0,2505100000.0,-7000000.0,3306100000.0,-92500000.0,-145500000.0,-32900000.0,-42300000.0,203100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI.PA,Air Liquide,cash_flow,2023-12-31,2869600000.0,-81900000.0,,,128800000.0,-3393400000.0,1403600000.0,,1760900000.0,-61600000.0,-295700000.0,-3479700000.0,-142000000.0,-262300000.0,-1581200000.0,-1581200000.0,46900000.0,-81900000.0,128800000.0,-1215600000.0,,-1215600000.0,,,-3079000000.0,,14500000.0,236700000.0,339700000.0,-103000000.0,-3330200000.0,63200000.0,-3393400000.0,6263000000.0,,,,-154400000.0,-154400000.0,467400000.0,,471200000.0,2482000000.0,2277600000.0,-126900000.0,3078000000.0,,,,-59800000.0,204400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI.PA,Air Liquide,cash_flow,2022-12-31,2537100000.0,-191500000.0,,,37700000.0,-3273000000.0,1760900000.0,,2138900000.0,-165200000.0,-212800000.0,-2781000000.0,-4000000.0,-269700000.0,-1410500000.0,-1410500000.0,-153800000.0,-191500000.0,37700000.0,-617700000.0,,-617700000.0,,,-3241900000.0,,13800000.0,-74700000.0,61100000.0,-135800000.0,-3181000000.0,92000000.0,-3273000000.0,5810100000.0,,,,-396800000.0,-396800000.0,357900000.0,,565900000.0,2465900000.0,2262100000.0,-129900000.0,2758800000.0,,,,92600000.0,203800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI.PA,Air Liquide,cash_flow,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377300000.0,,,,,,,,,,,,172600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR.PA,Airbus,cash_flow,2025-12-31,4031000000.0,,,,,-3964000000.0,14140000000.0,,15010000000.0,-712000000.0,-158000000.0,-3471000000.0,-532000000.0,,-2372000000.0,-2372000000.0,-565000000.0,,,,,,,,-4682000000.0,,387000000.0,353000000.0,1232000000.0,-879000000.0,,,,7995000000.0,-965000000.0,-651000000.0,,100000000.0,2005000000.0,-333000000.0,,314000000.0,3133000000.0,3133000000.0,17000000.0,4960000000.0,2791000000.0,-3989000000.0,-707000000.0,1390000000.0,,-1527000000.0,3678000000.0,-5205000000.0,-3895000000.0,69000000.0,-3964000000.0,607000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR.PA,Airbus,cash_flow,2024-12-31,3733000000.0,,,,,-3669000000.0,15010000000.0,,16473000000.0,358000000.0,-1821000000.0,-2570000000.0,-78000000.0,,-2215000000.0,-2215000000.0,-276000000.0,,,,,,,,-6653000000.0,,196000000.0,-587000000.0,530000000.0,-1117000000.0,,,,7402000000.0,-947000000.0,-786000000.0,,1337000000.0,6146000000.0,-542000000.0,,166000000.0,2853000000.0,2853000000.0,70000000.0,4078000000.0,-1182000000.0,-3522000000.0,-105000000.0,1347000000.0,,-2691000000.0,1769000000.0,-4460000000.0,-3571000000.0,98000000.0,-3669000000.0,681000000.0,-505000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR.PA,Airbus,cash_flow,2023-12-31,3204000000.0,,,,,-3051000000.0,16473000000.0,,15823000000.0,-201000000.0,851000000.0,-1276000000.0,479000000.0,,-1421000000.0,-1421000000.0,-334000000.0,,,,,,,,-4128000000.0,,150000000.0,-516000000.0,509000000.0,-1025000000.0,,,,6255000000.0,-544000000.0,-606000000.0,,1205000000.0,1380000000.0,25000000.0,,-114000000.0,2242000000.0,2242000000.0,-477000000.0,3613000000.0,1421000000.0,-1854000000.0,258000000.0,1156000000.0,,-786000000.0,1914000000.0,-2700000000.0,-2976000000.0,75000000.0,-3051000000.0,690000000.0,-668000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR.PA,Airbus,cash_flow,2022-12-31,3824000000.0,,,,,-2464000000.0,15823000000.0,,14572000000.0,191000000.0,1060000000.0,-2115000000.0,-897000000.0,,-1181000000.0,-1181000000.0,-36000000.0,,,,,,,,-3113000000.0,,100000000.0,-506000000.0,459000000.0,-965000000.0,,,,6288000000.0,-790000000.0,-322000000.0,,1421000000.0,1445000000.0,232000000.0,,-1016000000.0,2716000000.0,2716000000.0,-544000000.0,4136000000.0,3309000000.0,-3218000000.0,-115000000.0,939000000.0,,-344000000.0,1507000000.0,-1851000000.0,-2363000000.0,101000000.0,-2464000000.0,250000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR.PA,Airbus,cash_flow,2021-12-31,,,-2295000000.0,0.0,,,,,,,,,,,,,,,,0.0,,0.0,-2295000000.0,0.0,,310000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-533000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALO.PA,Alstom,cash_flow,2026-03-31,324000000.0,,,,,,2297000000.0,2000000.0,2274000000.0,-45000000.0,66000000.0,-273000000.0,-54000000.0,,-38000000.0,-38000000.0,0.0,,,-9000000.0,-9000000.0,,,,-552000000.0,-4000000.0,,6000000.0,6000000.0,0.0,13000000.0,13000000.0,,891000000.0,,,,-271000000.0,,16000000.0,12000000.0,,813000000.0,813000000.0,-15000000.0,365000000.0,,,,-3000000.0,,,,,,,,,12000000.0,-567000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALO.PA,Alstom,cash_flow,2025-03-31,490000000.0,,,,,,2274000000.0,-25000000.0,976000000.0,-16000000.0,1339000000.0,244000000.0,952000000.0,-11000000.0,-24000000.0,-24000000.0,745000000.0,,,-1246000000.0,-1246000000.0,745000000.0,,,123000000.0,8000000.0,,585000000.0,595000000.0,-10000000.0,12000000.0,12000000.0,-482000000.0,972000000.0,,,,-87000000.0,,6000000.0,20000000.0,,874000000.0,874000000.0,-18000000.0,179000000.0,,,,-37000000.0,,,,,,,,,-5000000.0,-482000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALO.PA,Alstom,cash_flow,2024-03-31,-567000000.0,,,877000000.0,,,976000000.0,,826000000.0,-33000000.0,183000000.0,696000000.0,40000000.0,0.0,-61000000.0,-61000000.0,0.0,,,877000000.0,877000000.0,0.0,,877000000.0,-431000000.0,4000000.0,,42000000.0,73000000.0,-31000000.0,8000000.0,8000000.0,-485000000.0,-82000000.0,,,,-841000000.0,,-26000000.0,19000000.0,,836000000.0,836000000.0,-1000000.0,-279000000.0,,,,-104000000.0,,,,,,,,,-13000000.0,-485000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALO.PA,Alstom,cash_flow,2023-03-31,175000000.0,,,56000000.0,,,826000000.0,2000000.0,810000000.0,-53000000.0,67000000.0,-61000000.0,5000000.0,,,,90000000.0,,,56000000.0,56000000.0,0.0,,56000000.0,-478000000.0,24000000.0,,-95000000.0,,-95000000.0,24000000.0,24000000.0,,606000000.0,,,,-167000000.0,,33000000.0,66000000.0,,886000000.0,886000000.0,28000000.0,-108000000.0,,,,-138000000.0,,,,,,,,,4000000.0,-431000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALO.PA,Alstom,cash_flow,2022-03-31,,,-419000000.0,1200000000.0,,,,3000000.0,,,,,,,,,,,,,,1200000000.0,-419000000.0,1200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT.AS,ArcelorMittal,cash_flow,2025-12-31,471000000.0,-262000000.0,-3013000000.0,2139000000.0,,-4337000000.0,5392000000.0,-3000000.0,6400000000.0,504000000.0,-1509000000.0,-1766000000.0,-209000000.0,,-421000000.0,-421000000.0,-262000000.0,-262000000.0,,-874000000.0,,1453000000.0,-654000000.0,2107000000.0,-4551000000.0,-126000000.0,,-169000000.0,47000000.0,,-4237000000.0,100000000.0,-4337000000.0,4808000000.0,-633000000.0,-828000000.0,362000000.0,-267000000.0,,-1187000000.0,,,2945000000.0,2816000000.0,,3243000000.0,-942000000.0,820000000.0,597000000.0,359000000.0,129000000.0,-19000000.0,,,,,,308000000.0,232000000.0,,-1766000000.0,,-2359000000.0,32000000.0,-4551000000.0,4808000000.0,-742000000.0,-942000000.0,-942000000.0,597000000.0,903000000.0,359000000.0,2945000000.0,129000000.0,-397000000.0,-806000000.0,114000000.0,63000000.0,,,,,,,,,,,,,,,,
MT.AS,ArcelorMittal,cash_flow,2024-12-31,447000000.0,-1300000000.0,-1456000000.0,2484000000.0,,-4405000000.0,6400000000.0,0.0,7686000000.0,-471000000.0,-815000000.0,-680000000.0,-15000000.0,,-393000000.0,-393000000.0,-1300000000.0,-1300000000.0,,1028000000.0,,1963000000.0,-264000000.0,2227000000.0,-4987000000.0,-14000000.0,,-1352000000.0,0.0,,-3837000000.0,568000000.0,-4405000000.0,4852000000.0,-763000000.0,-799000000.0,295000000.0,-185000000.0,,-335000000.0,,,2632000000.0,2525000000.0,,1380000000.0,56000000.0,238000000.0,-192000000.0,1535000000.0,107000000.0,216000000.0,,,,,,358000000.0,166000000.0,,-680000000.0,,-1192000000.0,257000000.0,-4987000000.0,4852000000.0,-287000000.0,56000000.0,56000000.0,-192000000.0,708000000.0,1535000000.0,2632000000.0,107000000.0,26000000.0,-779000000.0,639000000.0,0.0,,,,,,,,,,,,,,,,
MT.AS,ArcelorMittal,cash_flow,2023-12-31,3032000000.0,-1208000000.0,-2279000000.0,352000000.0,,-4613000000.0,7686000000.0,0.0,9300000000.0,255000000.0,-1869000000.0,-3666000000.0,-162000000.0,,-369000000.0,-369000000.0,-1208000000.0,-1208000000.0,,-1927000000.0,,-475000000.0,-609000000.0,134000000.0,-5848000000.0,-170000000.0,,-2343000000.0,254000000.0,,-3895000000.0,718000000.0,-4613000000.0,7645000000.0,-977000000.0,-788000000.0,316000000.0,1714000000.0,,-94000000.0,,,2675000000.0,2552000000.0,,1022000000.0,-271000000.0,1568000000.0,307000000.0,238000000.0,123000000.0,560000000.0,560000000.0,,,,,553000000.0,249000000.0,,-3666000000.0,,-1670000000.0,218000000.0,-5848000000.0,7645000000.0,110000000.0,-271000000.0,-271000000.0,307000000.0,2043000000.0,238000000.0,2675000000.0,123000000.0,943000000.0,-1184000000.0,409000000.0,1469000000.0,,,,,,,,,,,,,,,,
MT.AS,ArcelorMittal,cash_flow,2022-12-31,6735000000.0,-2937000000.0,-1204000000.0,4327000000.0,0.0,-3468000000.0,9300000000.0,0.0,4215000000.0,-158000000.0,5243000000.0,-477000000.0,-331000000.0,,-332000000.0,-332000000.0,-2937000000.0,-2937000000.0,0.0,3123000000.0,,3733000000.0,-160000000.0,3893000000.0,-4483000000.0,-139000000.0,,-939000000.0,0.0,,-3373000000.0,95000000.0,-3468000000.0,10203000000.0,-2940000000.0,-440000000.0,493000000.0,-615000000.0,,-525000000.0,,,2580000000.0,2493000000.0,15000000.0,9538000000.0,-294000000.0,-2062000000.0,1133000000.0,1717000000.0,87000000.0,-32000000.0,0.0,-32000000.0,,,,178000000.0,176000000.0,,-477000000.0,0.0,-1044000000.0,434000000.0,-4483000000.0,10203000000.0,608000000.0,-294000000.0,-294000000.0,1133000000.0,1440000000.0,1717000000.0,2580000000.0,87000000.0,-1223000000.0,-1317000000.0,-82000000.0,0.0,,,,,,,,,,,,,,,,
MT.AS,ArcelorMittal,cash_flow,2021-12-31,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,44000000.0,,,,,,,,2680000000.0,-80000000.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS.PA,AXA,cash_flow,2025-12-31,21924000000.0,-7323000000.0,0.0,1750000000.0,2176000000.0,-428000000.0,20970000000.0,-1000000.0,18113000000.0,130000000.0,2728000000.0,-8994000000.0,,-869000000.0,-4728000000.0,-4728000000.0,-5147000000.0,-7323000000.0,2176000000.0,1750000000.0,,1750000000.0,0.0,1750000000.0,-10948000000.0,-2109000000.0,,4146000000.0,4871000000.0,-725000000.0,-425000000.0,3000000.0,-428000000.0,22352000000.0,-1260000000.0,-3854000000.0,5640000000.0,18491000000.0,5727000000.0,627000000.0,,0.0,-735000000.0,-735000000.0,-20150000000.0,9999000000.0,,,,,,-6655000000.0,72661000000.0,-79316000000.0,,,,13300000000.0,,,,,,,,,,,,,,,,,,,,,318000000.0,-1099000000.0,2411000000.0,-3510000000.0,,,,,,,,,,,,
CS.PA,AXA,cash_flow,2024-12-31,11991000000.0,-4745000000.0,0.0,776000000.0,1991000000.0,-476000000.0,18113000000.0,,24539000000.0,280000000.0,-6706000000.0,-7335000000.0,-2000000.0,-900000000.0,-4455000000.0,-4455000000.0,-2754000000.0,-4745000000.0,1991000000.0,776000000.0,,776000000.0,0.0,776000000.0,-11249000000.0,1456000000.0,,141000000.0,194000000.0,-53000000.0,-459000000.0,17000000.0,-476000000.0,12467000000.0,-1820000000.0,-5366000000.0,5120000000.0,10380000000.0,14777000000.0,607000000.0,,0.0,-562000000.0,-562000000.0,-20207000000.0,9978000000.0,,,,,,-8547000000.0,67391000000.0,-75938000000.0,,,,14512000000.0,,,,,,,,,,,,,,,,,,,,,-589000000.0,262000000.0,2520000000.0,-2258000000.0,,,,,,,,,,,,
CS.PA,AXA,cash_flow,2023-12-31,3517000000.0,-2152000000.0,-1944000000.0,1750000000.0,2786000000.0,-419000000.0,24539000000.0,1000000.0,26632000000.0,-151000000.0,-1943000000.0,-4345000000.0,-2000000.0,-849000000.0,-3934000000.0,-3934000000.0,634000000.0,-2152000000.0,2786000000.0,-194000000.0,,-194000000.0,-1944000000.0,1750000000.0,-1590000000.0,-1662000000.0,,-855000000.0,,-855000000.0,-398000000.0,21000000.0,-419000000.0,3936000000.0,-1035000000.0,-4760000000.0,4541000000.0,1286000000.0,1418000000.0,49000000.0,,1000000.0,,,-17751000000.0,8435000000.0,,,,,,5325000000.0,83612000000.0,-78287000000.0,,,,13621000000.0,,,,,,,,,,,,,,,,,,,,,56000000.0,28000000.0,3244000000.0,-3216000000.0,,,,,,,,,,,,
CS.PA,AXA,cash_flow,2022-12-31,8307000000.0,-3987000000.0,-1538000000.0,3361000000.0,335000000.0,-398000000.0,25681000000.0,-488000000.0,24374000000.0,-464000000.0,2259000000.0,-6291000000.0,,-786000000.0,-3676000000.0,-3676000000.0,-3652000000.0,-3987000000.0,335000000.0,1823000000.0,,1823000000.0,-1538000000.0,3361000000.0,-155000000.0,-283000000.0,,281000000.0,315000000.0,-34000000.0,-365000000.0,33000000.0,-398000000.0,8705000000.0,-1343000000.0,-2453000000.0,4223000000.0,-8875000000.0,1288000000.0,9243000000.0,,0.0,,,-9122000000.0,6583000000.0,,,,,,9895000000.0,91274000000.0,-81379000000.0,,,,11469000000.0,,,,,,,,,,,,,,,,,,,,,0.0,-296000000.0,2818000000.0,-3114000000.0,,,,,,,,,,,,
CS.PA,AXA,cash_flow,2021-12-31,,,,,,,,3411000000.0,,,,,-2000000.0,,,,,,,,,,,,,,,,24000000.0,,,,,,,,,,,,,,,,,,,,4344000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNP.PA,BNP Paribas,cash_flow,2025-12-31,43696000000.0,,,,,-2875000000.0,204833000000.0,,178212000000.0,-7073000000.0,33694000000.0,-6819000000.0,6523000000.0,,,,-13342000000.0,,,,,,,,-6058000000.0,,,-3183000000.0,,,-2875000000.0,,-2875000000.0,46571000000.0,-3821000000.0,,,22179000000.0,-38614000000.0,-25000000.0,,4215000000.0,8055000000.0,8055000000.0,-320000000.0,17065000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNP.PA,BNP Paribas,cash_flow,2024-12-31,-99512000000.0,,,,,-2136000000.0,178212000000.0,,282579000000.0,-393000000.0,-103974000000.0,-6418000000.0,2338000000.0,,,,-8756000000.0,,,,,,,,-180000000.0,,,1956000000.0,,,-2136000000.0,,-2136000000.0,-97376000000.0,-3133000000.0,,,-121525000000.0,-112853000000.0,1756000000.0,,3044000000.0,7272000000.0,7272000000.0,-277000000.0,16188000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNP.PA,BNP Paribas,cash_flow,2023-12-31,-36457000000.0,,,,,-2216000000.0,282579000000.0,,317698000000.0,-3506000000.0,-31613000000.0,-4676000000.0,4022000000.0,,,,-8698000000.0,,,,,,,,7304000000.0,,,9520000000.0,,,-2216000000.0,,-2216000000.0,-34241000000.0,-3359000000.0,,,-54760000000.0,-47009000000.0,2829000000.0,,3614000000.0,6245000000.0,6245000000.0,-3600000000.0,15383000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNP.PA,BNP Paribas,cash_flow,2022-12-31,-55366000000.0,,,,,-2529000000.0,317698000000.0,,362418000000.0,1030000000.0,-45750000000.0,9250000000.0,11828000000.0,,,,-2578000000.0,,,,,,,,-2163000000.0,,,366000000.0,,,-2529000000.0,,-2529000000.0,-52837000000.0,-1999000000.0,,,-86713000000.0,-40275000000.0,12479000000.0,,3284000000.0,6465000000.0,6465000000.0,265000000.0,14037000000.0,,,,,,366000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNP.PA,BNP Paribas,cash_flow,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN.PA,Bouygues,cash_flow,2025-12-31,2971000000.0,,-634000000.0,419000000.0,,-2501000000.0,96432000000.0,,94818000000.0,-215000000.0,1829000000.0,-1659000000.0,-544000000.0,,-755000000.0,-755000000.0,205000000.0,,,-215000000.0,-215000000.0,,,,-1984000000.0,-10000000.0,,-33000000.0,187000000.0,-220000000.0,-1930000000.0,571000000.0,-2501000000.0,5472000000.0,-653000000.0,,,954000000.0,519000000.0,231000000.0,,,3352000000.0,3352000000.0,-467000000.0,1272000000.0,-311000000.0,140000000.0,328000000.0,655000000.0,,,,,,,,,,,,,-634000000.0,419000000.0,,,,,,,,,,,,,,,,,,,181000000.0,-21000000.0,,,,,,,,,,
EN.PA,Bouygues,cash_flow,2024-12-31,2664000000.0,,-1275000000.0,1032000000.0,,-2714000000.0,4818000000.0,,4907000000.0,86000000.0,-175000000.0,-2070000000.0,-548000000.0,,-718000000.0,-718000000.0,-151000000.0,,,0.0,-243000000.0,,,,-3483000000.0,-107000000.0,,-1061000000.0,53000000.0,-1114000000.0,-2268000000.0,446000000.0,-2714000000.0,5378000000.0,-468000000.0,,,776000000.0,1260000000.0,188000000.0,,,3074000000.0,3074000000.0,-164000000.0,1222000000.0,-450000000.0,44000000.0,-171000000.0,617000000.0,,,,,,,,,,,,,-1275000000.0,1032000000.0,,,,,,,,,,,,,,,,,,,23000000.0,8000000.0,,,,,,,,,,
EN.PA,Bouygues,cash_flow,2023-12-31,2680000000.0,,,,,-2664000000.0,4907000000.0,,5318000000.0,-58000000.0,-353000000.0,-3370000000.0,-204000000.0,,-671000000.0,-671000000.0,-183000000.0,,,-1680000000.0,,,,,-2327000000.0,-18000000.0,,209000000.0,357000000.0,-148000000.0,-2209000000.0,455000000.0,-2664000000.0,5344000000.0,-516000000.0,,,1148000000.0,,237000000.0,,,2915000000.0,2915000000.0,-223000000.0,1201000000.0,,,,547000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN.PA,Bouygues,cash_flow,2022-12-31,248000000.0,,,,,-2730000000.0,5318000000.0,,6150000000.0,-32000000.0,-800000000.0,4853000000.0,609000000.0,-260000000.0,-680000000.0,-680000000.0,-283000000.0,,,5745000000.0,,,,,-8631000000.0,-97000000.0,,-6341000000.0,297000000.0,-6638000000.0,-2326000000.0,404000000.0,-2730000000.0,2978000000.0,-518000000.0,,,-606000000.0,,66000000.0,,,2685000000.0,2685000000.0,-296000000.0,1131000000.0,,,,424000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN.PA,Bouygues,cash_flow,2021-12-31,,,,,,,,,,,,,,-207000000.0,,,,,,,,1057000000.0,,,,,,,,,,,,,,,,,-83000000.0,,,,,,,,243000000.0,70000000.0,-284000000.0,,353000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158000000.0,51000000.0,,,,,,,,,,
